entry_type,source_file,sheet_name,variable_name,readable_name,definition,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
source_workbook,"Full n977 (minus UARS) w dAHI use and outcomes.xlsm",all_expected_sheets,source_workbook_combined,Combined cohort workbook,Primary restricted workbook with all expected analysis sheets,workbook,not_applicable,not_applicable,not_applicable,not_documented,restricted source workbook,not_applicable,must exist locally before full run,Not public; default local path is data/private/,needs_review
source_workbook,"Full (minus UARS) meeting goals.xlsx",all_expected_sheets,source_workbook_at_goal,At-goal cohort workbook,Restricted workbook subset for participants meeting CPAP tracking goals,workbook,not_applicable,not_applicable,not_applicable,not_documented,derived restricted workbook,Filtered from combined workbook,required for main analysis unless regenerated locally,Do not commit row-level split workbook,needs_review
source_workbook,"Full (minus UARS) not meeting goals.xlsx",all_expected_sheets,source_workbook_not_at_goal,Not-at-goal cohort workbook,Restricted workbook subset for participants not meeting CPAP tracking goals,workbook,not_applicable,not_applicable,not_applicable,not_documented,derived restricted workbook,Filtered from combined workbook,required for main analysis unless regenerated locally,Do not commit row-level split workbook,needs_review
sheet,all_expected_workbooks,Population,Population,Population sheet,Participant-level demographic and CPAP-tracking sheet,sheet,not_applicable,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Column set inferred from script,needs_review
sheet,all_expected_workbooks,Systolic,Systolic,Systolic BP sheet,Participant-level systolic blood pressure pre/post values,sheet,mmHg,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Metric units inferred from axis label,needs_review
sheet,all_expected_workbooks,Diastolic,Diastolic,Diastolic BP sheet,Participant-level diastolic blood pressure pre/post values,sheet,mmHg,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Metric units inferred from axis label,needs_review
sheet,all_expected_workbooks,SP02,SP02,SpO2 sheet,Participant-level oxygen saturation pre/post values,sheet,percent,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Confirm whether label intentionally uses zero in SP02,needs_review
sheet,all_expected_workbooks,BMI,BMI,BMI sheet,Participant-level body mass index pre/post values,sheet,kg/m2,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Axis label in script appears as m2/kg and should be reviewed,needs_review
sheet,all_expected_workbooks,CREAT,CREAT,Creatinine sheet,Participant-level serum creatinine pre/post values,sheet,mg/dL,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Metric units inferred from axis label,needs_review
sheet,all_expected_workbooks,HBA1C,HBA1C,A1c sheet,Participant-level glycated hemoglobin pre/post values,sheet,percent,not_applicable,not_applicable,not_documented,Excel workbook,not_applicable,must be present in each expected workbook,Metric units inferred from axis label,needs_review
source_variable,all_expected_workbooks,all_expected_sheets,PAT_ID,Participant identifier,Restricted participant identifier used to align rows across sheets and generate split workbooks,identifier,not_applicable,not_documented,not_documented,blank or missing possible,EHR-derived workbook,not_applicable,must be stable across sheets,Do not publish row-level values,needs_review
source_variable,all_expected_workbooks,Population,MACHINE_AHI_AFTER,Machine-measured AHI after CPAP,Residual apnea-hypopnea index measured by PAP adherence tracking after treatment initiation,numeric,events/hour,nonnegative numeric,not_applicable,blank or missing possible,EHR-derived workbook,Used for CPAP goal status,must be numeric where present,Definition inferred from code comments,needs_review
source_variable,all_expected_workbooks,Population,AHI_AFTER_AVERAGE_HRS,Average nightly PAP use hours,Average nightly PAP use in hours after treatment initiation,numeric,hours/night,nonnegative numeric,not_applicable,blank or missing possible,EHR-derived workbook,Used for CPAP goal status,must be numeric where present,Definition inferred from code comments,needs_review
source_variable,all_expected_workbooks,Population,DIAGNOSTIC_AHI_BEFORE,Diagnostic AHI before CPAP,Diagnostic apnea-hypopnea index before CPAP treatment,numeric,events/hour,nonnegative numeric,not_applicable,blank or missing possible,EHR-derived workbook,Used for OSA severity classification,must be numeric where present,Thresholds inferred from script,needs_review
source_variable,all_expected_workbooks,Population,CPAP_DME_REQUEST_PAT_AGE,Age at CPAP DME request,Patient age used for complete vs incomplete systolic BP comparisons,numeric,years,nonnegative numeric,not_applicable,blank or missing possible,EHR-derived workbook,not_applicable,must be numeric where present,Timing inferred from variable name,needs_review
